image_id,MSE,NMSE,PSNR,IF,SSIM
image_1,2.47,0.02,44.21,0.98,0.99
image_2,90.8,0.86,28.55,0.25,0.52
image_3,104.72,1.08,27.93,0.08,0.33
image_4,108.72,1.24,27.77,-0.02,0.22
image_5,108.32,1.34,27.78,-0.07,0.16
image_6,83.33,0.88,28.92,0.32,0.61
image_7,63.74,0.56,30.09,0.48,0.73
image_8,56.43,0.53,30.62,0.55,0.79
image_9,43.22,0.39,31.77,0.65,0.89
image_10,40.52,0.36,32.05,0.67,0.9
image_11,45.8,0.4,31.52,0.63,0.78
image_12,49.31,0.43,31.2,0.6,0.71
image_13,51.32,0.45,31.03,0.59,0.67
image_14,52.89,0.46,30.9,0.58,0.63
image_15,54.29,0.48,30.78,0.57,0.61
